Datum,Wochentag,isFerienZH,Ferien Desc ZH,isFerienSG,Ferien Desc SG,isFerienGR,Ferien Desc GR,Feiertag Desc,isFeiertag ZH,isFeiertag SG,isFeiertag GR,t_2m_c_avg,snow_depth_cm_avg,visibility_m_avg,wind_speed_10m_ms_max,prob_precip_1h_p_avg,prob_tstorm_1h_p_avg,hail_idx_avg,wind_gusts_10m_ms_max,wind_speed_mean_10m_24h_ms_avg,t_max_2m_24h_c_max,t_min_2m_24h_c_min,precip_24h_mm_max,fresh_snow_24h_cm_max,is_sleet_1h_idx_max,is_fog_1h_idx_max,precip_1h_mm_sum,fresh_snow_1h_cm_sum,wind_speed_mean_10m_1h_ms_avg,weather_symbol_1h_idx_spe,number_of_events,Schalter,Tel,Mail,Total Anfragen
01.01.2016,Freitag,0,0,0,0,0,0,Neujahr,1,1,1,0.225,0.3,18397.725,1.375,1.0,1.0,0.0,2.1,1.2,2.6,-2.3,1.05,2.9,0.0,0.0,0.0,0.0,3.8,1.7,0,23.0,65.0,10.0,98.0
02.01.2016,Samstag,0,0,0,0,0,0,Berchtoldstag,0,0,0,-0.05,0.225,21420.75,0.925,27.125,1.0,0.0,3.0,1.0,3.2,-1.5,0.0,0.0,0.0,1.0,1.7,2.1,3.6,0.0,0,72.0,65.0,18.0,155.0
03.01.2016,Sonntag,0,0,0,0,0,0,0,0,0,0,0.45,6.2,15970.125,1.625,5.1,1.0,0.0,3.0,1.0,1.6,-1.8,9.01,13.7,0.0,1.0,0.57,0.5,4.2,0.0,0,38.0,65.0,25.0,128.0
04.01.2016,Montag,0,0,0,0,0,0,0,0,0,0,0.075,9.05,28561.0,1.925,1.7,1.0,0.0,11.5,1.4,0.9,-3.1,0.0,0.0,0.0,0.0,0.08,0.0,8.9,0.0,0,65.0,65.0,50.0,180.0
05.01.2016,Dienstag,0,0,0,0,0,0,0,0,0,0,-1.875,9.375,28561.0,0.95,1.0,1.0,0.0,3.8,1.6,1.0,-5.7,0.64,0.6,0.0,0.0,0.0,0.0,5.9,1.1,0,31.0,65.0,40.0,136.0
06.01.2016,Mittwoch,0,0,0,0,0,0,Heilige Drei Könige,0,0,1,-2.875,11.05,28561.0,1.325,1.0,1.0,0.0,1.6,1.3,1.7,-8.4,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0,37.0,65.0,28.0,130.0
07.01.2016,Donnerstag,0,0,0,0,0,0,0,0,0,0,-1.725,13.625,23009.35,1.9,1.0,1.0,0.0,7.0,1.2,0.1,-8.2,0.0,0.0,0.0,0.0,0.03,0.0,5.7,0.0,0,29.0,65.0,29.0,123.0
08.01.2016,Freitag,0,0,0,0,0,0,0,0,0,0,-0.325,19.525,28561.0,1.75,1.0,1.0,0.0,3.7,1.4,-0.5,-7.4,7.26,13.4,0.0,0.0,0.0,0.0,5.9,0.0,0,39.0,65.0,33.0,137.0
09.01.2016,Samstag,0,0,0,0,0,0,0,0,0,0,1.35,16.125,21420.75,1.45,5.375,1.0,0.0,4.3,1.4,3.0,-6.4,0.0,0.0,0.0,1.0,0.44,0.0,4.1,0.0,0,43.0,65.0,17.0,125.0
10.01.2016,Sonntag,0,0,0,0,0,0,0,0,0,0,1.3,15.225,14280.5,1.55,1.0,1.0,0.0,8.9,1.0,3.3,-2.9,0.66,0.0,0.0,1.0,0.0,0.0,6.2,0.0,0,21.0,65.0,17.0,103.0
